                                                         结算单                                                        

账户：12020088808
日期：20170216
                                                         资金状况                                          币种：人民币
-----------------------------------------------------------------------------------------------------------------------
上次结算资金：      4445396.88 								 交割手续费：              0.00
出入金：                  0.00 								 期末结存：          4374800.87
平仓盈亏：           -26825.00 								 保证金占用：        1323682.95
持仓盈亏：           -42600.00 								 可用资金：          3051117.92
手续费：               1171.01 								 风险度：                30.26%


--------------------------------------------------------持仓明细-------------------------------------------------------

|     合约代码    |    交易所 | 开仓日期| 投/保| 买/卖|  手数 |    开仓价   |    结算价   |   持仓盈亏  |    保证金   |
|           pp1705|     大商所| 20170213|  投机|  买  |      3|     9457.000|     9128.000|     -3405.00|      9584.40|
|           pp1705|     大商所| 20170213|  投机|  买  |      1|     9459.000|     9128.000|     -1135.00|      3194.80|
|            l1705|     大商所| 20170213|  投机|  买  |      1|    10535.000|    10080.000|     -1425.00|      3528.00|
|           zn1704|     上期所| 20170214|  投机|  买  |      3|    23905.000|    23565.000|      -750.00|     31812.75|
|           zn1704|     上期所| 20170214|  投机|  买  |      1|    23910.000|    23565.000|      -250.00|     10604.25|
|           zn1704|     上期所| 20170214|  投机|  买  |      1|    23910.000|    23565.000|      -250.00|     10604.25|
|           zn1704|     上期所| 20170214|  投机|  买  |      4|    23910.000|    23565.000|     -1000.00|     42417.00|
|           zn1704|     上期所| 20170214|  投机|  买  |      1|    23910.000|    23565.000|      -250.00|     10604.25|
|           rb1705|     上期所| 20170203|  投机|    卖|      1|     3124.000|     3421.000|       -90.00|      3763.10|
|           ni1705|     上期所| 20170206|  投机|  买  |      1|    86250.000|    90510.000|       900.00|      9051.00|
|           cu1704|     上期所| 20170214|  投机|    卖|      2|    49950.000|    48970.000|      1500.00|     44073.00|
|           au1706|     上期所| 20170210|  投机|  买  |      2|      274.750|      275.400|       300.00|     33048.00|
|           ag1706|     上期所| 20170213|  投机|  买  |      1|     4224.000|     4225.000|       -30.00|      5070.00|
|           ag1706|     上期所| 20170213|  投机|  买  |      1|     4224.000|     4225.000|       -30.00|      5070.00|
|           ag1706|     上期所| 20170213|  投机|  买  |      1|     4224.000|     4225.000|       -30.00|      5070.00|
|           ag1706|     上期所| 20170213|  投机|  买  |      1|     4224.000|     4225.000|       -30.00|      5070.00|
|           ag1706|     上期所| 20170213|  投机|  买  |      1|     4224.000|     4225.000|       -30.00|      5070.00|
|           ag1706|     上期所| 20170207|  投机|  买  |      3|     4172.000|     4225.000|       -90.00|     15210.00|
|           ag1706|     上期所| 20170213|  投机|  买  |      2|     4240.000|     4225.000|       -60.00|     10140.00|
|           ag1706|     上期所| 20170213|  投机|  买  |      4|     4241.000|     4225.000|      -120.00|     20280.00|
|           rb1705|     上期所| 20170213|  投机|  买  |      2|     3400.000|     3421.000|       180.00|      7526.20|
|           ag1706|     上期所| 20170213|  投机|  买  |      6|     4235.000|     4225.000|      -180.00|     30420.00|
|           cu1704|     上期所| 20170213|  投机|  买  |      1|    50250.000|    48970.000|      -750.00|     22036.50|
|           ni1705|     上期所| 20170213|  投机|  买  |      2|    89140.000|    90510.000|      1800.00|     18102.00|
|            CF705|     郑商所| 20170216|  投机|  买  |      1|    15730.000|    15735.000|        25.00|      5507.25|
|            TA705|     郑商所| 20170216|  投机|    卖|      1|     5678.000|     5706.000|      -140.00|      1711.80|
|            TA705|     郑商所| 20170216|  投机|    卖|      1|     5678.000|     5706.000|      -140.00|      1711.80|
|            TA705|     郑商所| 20170216|  投机|    卖|      1|     5678.000|     5706.000|      -140.00|      1711.80|
|            TA705|     郑商所| 20170216|  投机|    卖|      1|     5678.000|     5706.000|      -140.00|      1711.80|
|            TA705|     郑商所| 20170216|  投机|    卖|      3|     5678.000|     5706.000|      -420.00|      5135.40|
|            MA705|     郑商所| 20170216|  投机|    卖|      7|     3030.000|     3075.000|     -3150.00|     15067.50|
|            MA705|     郑商所| 20170216|  投机|    卖|      5|     3030.000|     3075.000|     -2250.00|     10762.50|
|           jd1705|     大商所| 20170216|  投机|    卖|      1|     3322.000|     3324.000|       -20.00|      2659.20|
|           jd1705|     大商所| 20170216|  投机|    卖|      1|     3322.000|     3324.000|       -20.00|      2659.20|
|           jd1705|     大商所| 20170216|  投机|    卖|      1|     3322.000|     3324.000|       -20.00|      2659.20|
|           jd1705|     大商所| 20170216|  投机|    卖|      1|     3322.000|     3324.000|       -20.00|      2659.20|
|            m1705|     大商所| 20170216|  投机|  买  |      3|     2983.000|     2963.000|      -600.00|      6222.30|
|            p1705|     大商所| 20170216|  投机|    卖|      5|     6136.000|     6112.000|      1200.00|     21392.00|
|           jm1705|     大商所| 20170216|  投机|  买  |      2|     1225.000|     1237.000|      1440.00|     22266.00|
|            j1705|     大商所| 20170216|  投机|  买  |      2|     1736.000|     1690.000|     -9200.00|     50700.00|
|           pp1705|     大商所| 20170216|  投机|    卖|      2|     9112.000|     9128.000|      -160.00|      6389.60|
|            l1705|     大商所| 20170216|  投机|    卖|      2|     9950.000|    10080.000|     -1300.00|      7056.00|
|           rb1705|     上期所| 20170216|  投机|  买  |     12|     3474.000|     3421.000|     -6360.00|     45157.20|
|           rb1705|     上期所| 20170216|  投机|  买  |      7|     3474.000|     3421.000|     -3710.00|     26341.70|
|           rb1705|     上期所| 20170216|  投机|  买  |      2|     3504.000|     3421.000|     -1660.00|      7526.20|
|           rb1705|     上期所| 20170216|  投机|  买  |      3|     3504.000|     3421.000|     -2490.00|     11289.30|
|           zn1704|     上期所| 20170216|  投机|    卖|      1|    23210.000|    23565.000|     -1775.00|     10604.25|
|           zn1704|     上期所| 20170216|  投机|    卖|      1|    23210.000|    23565.000|     -1775.00|     10604.25|
|           zn1704|     上期所| 20170216|  投机|    卖|      1|    23210.000|    23565.000|     -1775.00|     10604.25|
|           zn1704|     上期所| 20170216|  投机|    卖|      2|    23210.000|    23565.000|     -3550.00|     21208.50|
|           zn1704|     上期所| 20170216|  投机|    卖|      1|    23210.000|    23565.000|     -1775.00|     10604.25|
-----------------------------------------------------------------------------------------------------------------------
|    共： 126条   |           |         |      |      |    353|             |             |    -42600.00|   1413108.05|


--------------------------------------------------------持仓汇总-------------------------------------------------------

|     合约代码    |    买/卖|    手数 |       开仓均价  |        结算价   |     持仓盯市盈亏|    保证金占用   |  投/保|
-----------------------------------------------------------------------------------------------------------------------
|            CF705|     买  |        7|        15968.571|        15735.000|         -4025.00|         38550.75|   投机|
|            MA705|     买  |        8|         2902.000|         3075.000|         -1440.00|         17220.00|   投机|
|            TA705|     买  |       13|         5755.692|         5706.000|         -4420.00|         22253.40|   投机|
|            FG705|     买  |       34|         1377.559|         1372.000|             0.00|         65307.20|   投机|
|            OI705|       卖|        8|         7192.000|         7080.000|           480.00|         39648.00|   投机|
|            SR705|     买  |        2|         6965.000|         6850.000|          -960.00|          6850.00|   投机|
|            p1705|       卖|       13|         6139.846|         6112.000|           400.00|         55619.20|   投机|
|            y1705|       卖|       31|         6868.903|         6836.000|          1860.00|        148341.20|   投机|
|            m1705|     买  |       21|         2963.333|         2963.000|          2100.00|         43556.10|   投机|
|            y1705|     买  |       10|         6868.000|         6836.000|          -600.00|         47852.00|   投机|
|            c1709|       卖|       30|         1672.000|         1648.000|          -600.00|         34608.00|   投机|
|           jd1705|       卖|       15|         3351.533|         3324.000|          -300.00|         39888.00|   投机|
|            c1705|       卖|       43|         1568.302|         1576.000|         -1720.00|         47437.60|   投机|
|            j1705|     买  |        4|         1694.500|         1690.000|         -2100.00|        101400.00|   投机|
|            i1705|     买  |        7|          697.714|          699.500|         -2100.00|         48965.00|   投机|
|           jm1705|     买  |        7|         1206.786|         1237.000|         10590.00|         77931.00|   投机|
|           pp1705|     买  |        4|         9457.500|         9128.000|         -4540.00|         12779.20|   投机|
|           jm1705|       卖|        1|         1221.500|         1237.000|         -1830.00|         11133.00|   投机|
|            l1705|     买  |        1|        10535.000|        10080.000|         -1425.00|          3528.00|   投机|
|           rb1705|     买  |       26|         3474.077|         3421.000|        -14040.00|         97840.60|   投机|
|           rb1705|       卖|        1|         3124.000|         3421.000|           -90.00|          3763.10|   投机|
|           zn1704|     买  |       10|        23908.500|        23565.000|         -2500.00|        106042.50|   投机|
|           ni1705|     买  |        3|        88176.667|        90510.000|          2700.00|         27153.00|   投机|
|           cu1704|       卖|        2|        49950.000|        48970.000|          1500.00|         44073.00|   投机|
|           au1706|     买  |        2|          274.750|          275.400|           300.00|         33048.00|   投机|
|           ag1706|     买  |       20|         4224.500|         4225.000|          -600.00|        101400.00|   投机|
|           cu1704|     买  |        1|        50250.000|        48970.000|          -750.00|         22036.50|   投机|
|            TA705|       卖|        7|         5678.000|         5706.000|          -980.00|         11982.60|   投机|
|            MA705|       卖|       12|         3030.000|         3075.000|         -5400.00|         25830.00|   投机|
|           pp1705|       卖|        2|         9112.000|         9128.000|          -160.00|          6389.60|   投机|
|            l1705|       卖|        2|         9950.000|        10080.000|         -1300.00|          7056.00|   投机|
|           zn1704|       卖|        6|        23210.000|        23565.000|        -10650.00|         63625.50|   投机|
-----------------------------------------------------------------------------------------------------------------------
|    共：  32条   |         |      353|                 |                 |        -42600.00|       1413108.05|       |


--------------------------------------------------------成交明细-------------------------------------------------------

|      合约代码   |    交易所 | 成交日期| 买/卖| 投/保|       成交价|  手数 |  开平 |      手续费   |      成交编号   |
-----------------------------------------------------------------------------------------------------------------------
|            CF705|     郑商所| 20170216|    卖|  投机|    15605.000|      1|   平今|           6.34| 2017021600017013|
|            TA705|     郑商所| 20170216|    卖|  投机|     5686.000|      5|   平今|          15.83| 2017021600021508|
|            CF705|     郑商所| 20170216|    卖|  投机|    15745.000|      1|   平今|           6.34| 2017021600189830|
|            TA705|     郑商所| 20170216|    卖|  投机|     5700.000|      5|   平今|          15.83| 2017021600190132|
|            CF705|     郑商所| 20170216|  买  |  投机|    15730.000|      1|   开仓|           6.34| 2017021600422829|
|            FG705|     郑商所| 20170216|    卖|  投机|     1376.000|      1|   平今|           3.17| 2017021601083470|
|            TA705|     郑商所| 20170216|    卖|  投机|     5678.000|      1|   开仓|           3.17| 2017021601877213|
|            TA705|     郑商所| 20170216|    卖|  投机|     5678.000|      1|   开仓|           3.17| 2017021601877215|
